sio2,tio2,al2o3,feo,fe2o3,mno,na2o,k2o,mgo,cao,p2o5,h2o,d,Author,Year
66.7,0.0,17.06,0.0,0.0,0.0,0.0,0.0,7.81,8.43,0.0,0.0,2.5220000743865967,Osaka A.,1987
67.82,0.0,15.45,0.0,0.0,0.0,0.0,0.0,9.53,7.2,0.0,0.0,2.492000102996826,Osaka A.,1987
73.56,0.0,13.57,0.0,0.0,0.0,0.0,0.0,7.1,5.77,0.0,0.0,2.446000099182129,Osaka A.,1987
42.86,14.29,14.28,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,2.7720000743865967,Lisenenkov A.A.,1983
50.0,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,2.7079999446868896,Lisenenkov A.A.,1983
55.55,11.11,11.11,0.0,0.0,0.0,11.12,0.0,0.0,11.11,0.0,0.0,2.635999917984009,Lisenenkov A.A.,1983
60.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,2.6080000400543213,Lisenenkov A.A.,1983
63.64,9.09,9.09,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,2.565000057220459,Lisenenkov A.A.,1983
75.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2.390000104904175,Lisenenkov A.A.,1983
64.01,8.79,9.21,0.0,0.0,0.0,9.21,0.0,0.0,8.78,0.0,0.0,2.552999973297119,Lisenenkov A.A.,1983
61.54,10.77,8.46,0.0,0.0,0.0,8.46,0.0,0.0,10.77,0.0,0.0,2.588000059127808,Lisenenkov A.A.,1983
54.64,16.28,6.39,0.0,0.0,0.0,6.4,0.0,0.0,16.28,0.0,0.0,2.7179999351501465,Lisenenkov A.A.,1983
50.47,19.63,5.14,0.0,0.0,0.0,5.14,0.0,0.0,19.63,0.0,0.0,2.812000036239624,Lisenenkov A.A.,1983
46.22,22.9,4.0,0.0,0.0,0.0,3.99,0.0,0.0,22.88,0.0,0.0,2.8980000019073486,Lisenenkov A.A.,1983
36.33,30.94,0.9,0.0,0.0,0.0,0.9,0.0,0.0,30.93,0.0,0.0,3.1679999828338623,Lisenenkov A.A.,1983
33.33,33.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3.259999990463257,Lisenenkov A.A.,1983
42.86,14.29,14.28,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,2.7720000743865967,Lisenenkov A.A.,1983
50.0,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,2.7079999446868896,Lisenenkov A.A.,1983
55.55,11.11,11.11,0.0,0.0,0.0,11.12,0.0,0.0,11.11,0.0,0.0,2.635999917984009,Lisenenkov A.A.,1983
60.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,2.6080000400543213,Lisenenkov A.A.,1983
63.64,9.09,9.09,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,2.565000057220459,Lisenenkov A.A.,1983
50.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.7939999103546143,Lisenenkov A.A.,1983
62.5,12.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.63100004196167,Lisenenkov A.A.,1983
62.5,11.0,4.5,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.5859999656677246,Lisenenkov A.A.,1983
62.5,10.0,7.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.5510001182556152,Lisenenkov A.A.,1983
62.5,9.0,10.5,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.507999897003174,Lisenenkov A.A.,1983
62.5,8.0,13.5,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.470999956130981,Lisenenkov A.A.,1983
62.5,7.5,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.4560000896453857,Lisenenkov A.A.,1983
62.5,7.1,16.2,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,2.4579999446868896,Lisenenkov A.A.,1983
62.5,6.8,17.1,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,2.470000028610229,Lisenenkov A.A.,1983
62.5,6.5,18.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.4660000801086426,Lisenenkov A.A.,1983
62.5,5.5,21.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.48799991607666,Lisenenkov A.A.,1983
62.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5899999141693115,Lisenenkov A.A.,1983
60.0,15.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.690999984741211,Livshits V.Ya.,1992
