0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0
80.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
70.09,0.0,0.0,0.0,0.0,0.0,22.59,0.0,7.32,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
67.06,0.0,15.11,0.0,0.0,0.0,17.83,0.0,0.0,0.0,0.0,0.0
73.03,0.0,0.0,0.0,0.0,0.0,13.21,0.0,0.0,13.75,0.0,0.0
61.9,0.0,19.4,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0
72.3,0.0,0.0,0.0,0.0,0.0,9.18,18.52,0.0,0.0,0.0,0.0
58.0,0.0,11.5,0.0,0.0,0.0,17.5,3.0,9.6,0.4,0.0,0.0
26.32,0.0,0.0,0.0,0.0,0.0,8.77,0.0,0.0,0.0,0.0,64.91
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,20.0,0.0,5.0,15.0,0.0,0.0,60.0,0.0
49.64,0.0,11.04,0.0,0.0,0.0,0.0,0.0,14.35,24.97,0.0,0.0
70.5,0.0,0.35,0.0,0.006,0.0,13.1,0.13,5.73,10.19,0.0,0.0
49.46,0.0,0.0,0.0,0.0,0.0,6.6,6.6,0.0,36.27,1.07,0.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,56.97,0.0,0.0,0.0,43.03,0.0
45.6,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0
64.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
0.0,86.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,0.0
58.01,0.0,0.0,0.0,0.0,0.0,0.0,9.72,0.0,29.74,0.0,2.53
66.65,0.0,11.65,0.0,0.0,0.0,8.46,0.0,8.62,4.62,0.0,0.0
0.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,63.0,0.0
78.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
73.31,0.0,0.12,0.0,0.0,0.0,3.93,11.5,0.0,11.13,0.0,0.0
83.33,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0
64.3,0.0,9.1,0.0,0.0,0.0,14.2,1.8,6.2,3.9,0.5,0.0
10.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
66.69,0.0,0.0,0.0,0.0,0.0,33.31,0.0,0.0,0.0,0.0,0.0
64.8,0.0,10.2,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7,8.9,0.0
63.77,0.0,0.0,0.0,0.0,0.0,15.94,0.0,20.29,0.0,0.0,0.0
4.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,0.0,0.0
71.32,0.083,1.51,0.0,0.086,0.0,12.64,1.22,4.12,9.03,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,58.6,0.0,0.0,0.0,41.4,0.0
66.7,0.0,16.34,0.0,0.12,0.0,8.39,0.0,0.0,8.44,0.0,0.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,68.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0,30.0,45.0,0.0
49.67,2.36,11.03,0.0,0.0,0.0,1.6,0.0,12.95,22.39,0.0,0.0
0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,22.0,17.0,46.0,0.0
76.3,0.63,8.16,4.06,0.0,0.0,1.55,1.68,3.84,3.78,0.0,0.0
53.38,0.0,1.69,0.0,0.0,0.0,1.69,0.0,0.0,43.24,0.0,0.0
0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0
75.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,5.0,0.0,0.0
50.7,0.0,10.02,0.0,0.0,0.0,0.0,0.0,0.0,39.29,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,48.9,0.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,60.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,15.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,84.0,0.0
77.37,0.0,0.0,0.0,0.0,0.0,1.67,20.96,0.0,0.0,0.0,0.0
68.38,0.0,0.0,0.0,0.0,0.0,8.13,1.42,8.58,10.93,2.57,0.0
66.59,0.0,0.0,0.0,0.0,0.0,13.41,20.0,0.0,0.0,0.0,0.0
39.0,23.2,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0,0.0,0.0
95.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99
0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,34.0,6.0,0.0
76.11,0.0,1.74,0.0,0.0,0.0,3.54,3.77,14.84,0.0,0.0,0.0
74.97,0.0,0.0,0.0,0.0,0.0,0.0,21.91,0.0,3.13,0.0,0.0
0.0,0.0,9.1,0.0,0.0,0.0,36.6,0.0,0.0,0.0,54.3,0.0
60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
74.19,0.0,0.0,0.0,0.0,0.0,25.81,0.0,0.0,0.0,0.0,0.0
68.92,0.0,0.0,0.0,0.0,0.0,13.81,13.82,0.0,3.45,0.0,0.0
62.99,0.0,0.0,0.0,0.0,0.0,16.65,0.0,14.22,6.14,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,60.0,0.0
54.99,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,40.63,0.0
98.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0
52.08,0.0,5.21,0.0,0.0,0.0,42.71,0.0,0.0,0.0,0.0,0.0
71.66,0.0,0.0,0.0,0.0,0.0,6.95,0.0,21.39,0.0,0.0,0.0
50.0,0.0,7.5,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0
72.33,0.0,0.99,0.0,0.0,0.0,12.49,0.44,5.47,8.28,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
66.22,0.0,1.2,0.0,0.0,0.0,17.24,3.19,0.76,11.39,0.0,0.0
56.86,0.0,16.52,0.0,0.0,0.0,16.52,0.0,3.6,0.0,6.51,0.0
